Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 35.37      9.12     9.12 62197883     0.00     0.00  WSmaze::goodToGoWithMouse(int, int)
 14.54     12.87     3.75 15050741     0.00     0.00  WSmaze::validToGoWithMouse(int, int)
 11.94     15.95     3.08     1232     0.00     0.01  Plan::wayTo(Position const&, Position const&)
 11.87     19.01     3.06 120065675     0.00     0.00  WSmaze::CanGoWithMouse(int, int)
  5.89     20.53     1.52     1800     0.00     0.00  WSbeacon::update(bool)
  4.61     21.72     1.19      370     0.00     0.02  Plan::wayThroughKnownPlacesTo(Position const&, Position const&)
  3.26     22.56     0.84        1     0.84     0.84  WSbeacon::createSensorMatrix()
  3.06     23.35     0.79      527     0.00     0.00  WSbeacon::applySensor(double)
  2.87     24.09     0.74 37728651     0.00     0.00  WSmaze::isKnown(int, int)
  1.43     24.46     0.37        1     0.37     0.37  WSmaze::createSensor()
  0.97     24.71     0.25 21470332     0.00     0.00  Path::update(Path*, double)
  0.70     24.89     0.18     5961     0.00     0.00  WSmaze::erode(char (*) [280], char (*) [280])
  0.66     25.06     0.17                             WSmaze::nearWall(int, int)
  0.39     25.16     0.10     5961     0.00     0.00  WSmaze::dilate(char (*) [280], char (*) [280])
  0.39     25.26     0.10     1987     0.00     0.00  WSmaze::clearGoodToGoMouseMatrix()
  0.35     25.35     0.09  9215381     0.00     0.00  WSmaze::goodToOptimizeWithMouse(int, int)
  0.35     25.44     0.09     1987     0.00     0.00  WSmaze::clearCanGoWithMouseMatrix()
  0.27     25.51     0.07     1987     0.00     0.00  WSmaze::clearIsKnownMatrix()
  0.19     25.56     0.05     1987     0.00     0.00  WSmaze::doErodesAndDilates()
  0.19     25.61     0.05                             Heap::makeEmpty()
  0.12     25.64     0.03     3265     0.00     0.00  WSmaze::applyCleanSensorMatrix(int, double, double, double, double, double)
  0.08     25.66     0.02 30103097     0.00     0.00  Heap::isEmpty()
  0.08     25.68     0.02   314155     0.00     0.00  Plan::tryWayToPoint(int)
  0.08     25.70     0.02     1602     0.00     0.00  Plan::findRoute(DiscretePosition, DiscretePosition)
  0.08     25.72     0.02                             gui(void*)
