Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 36.31      8.30     8.30 21183602     0.00     0.00  WSmaze::goodToGoWithMouse(int, int)
 10.02     10.59     2.29 39123829     0.00     0.00  WSmaze::CanGoWithMouse(int, int)
  6.17     12.00     1.41  4959157     0.00     0.00  WSmaze::validToGoWithMouse(int, int)
  5.69     13.30     1.30 13120924     0.00     0.00  WSmaze::isKnown(int, int)
  5.60     14.58     1.28     1200     0.00     0.01  Plan::wayTo(Position const&, Position const&)
  5.21     15.77     1.19     1813     0.00     0.00  WSbeacon::update(bool)
  4.33     16.76     0.99  6950714     0.00     0.00  WSmaze::goodToOptimizeWithMouse(int, int)
  4.16     17.71     0.95      402     0.00     0.00  WSbeacon::applySensor(double)
  3.67     18.55     0.84        1     0.84     0.84  WSbeacon::createSensorMatrix()
  3.32     19.31     0.76 273145527     0.00     0.00  Path::clear(DiscretePosition const&)
  2.97     19.99     0.68  4960902     0.00     0.00  Heap::deleteMin()
  2.67     20.60     0.61     1990     0.00     0.00  WSmaze::update()
  2.58     21.19     0.59      542     0.00     0.01  Plan::wayThroughKnownPlacesTo(Position const&, Position const&)
  2.01     21.65     0.46        1     0.46     0.46  WSmaze::createSensor()
  1.57     22.01     0.36   156800     0.00     0.00  Path::init(DiscretePosition const&)
  1.09     22.26     0.25     5970     0.00     0.00  WSmaze::erode(char (*) [280], char (*) [280])
  0.70     22.42     0.16     5970     0.00     0.00  WSmaze::dilate(char (*) [280], char (*) [280])
  0.52     22.54     0.12  7219887     0.00     0.00  Heap::insert(Path*)
  0.31     22.61     0.07  7218138     0.00     0.00  Path::update(Path*, double)
  0.26     22.67     0.06                             WSmaze::createGoodMouseMatrix()
  0.22     22.72     0.05                             WSmaze::nearWall(int, int)
  0.09     22.74     0.02   183523     0.00     0.00  Plan::tryWayToPoint(int)
  0.09     22.76     0.02     2254     0.00     0.00  recv_packet(char*)
  0.09     22.78     0.02     1992     0.00     0.00  WSbeaconsearch::update()
  0.09     22.80     0.02     1990     0.00     0.00  WSmaze::doErodesAndDilates()
  0.09     22.82     0.02                             __tcf_0
  0.04     22.83     0.01                             socket_thread(void*)
  0.04     22.84     0.01                             Heap::makeEmpty()
  0.04     22.85     0.01                             __tcf_0
  0.02     22.86     0.01     2134     0.00     0.00  ReadBeaconSensors(char const*, measures_t*)
  0.02     22.86     0.01                             Finish()
