Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 18.64     23.02    23.02        1    23.02    27.59  WSmaze::createSensor()
 12.21     38.10    15.08      926     0.02     0.02  WSmaze::clearGoodToGoMouseMatrix()
 11.45     52.24    14.14      926     0.02     0.02  WSmaze::doErodesAndDilates()
  7.76     61.83     9.59      926     0.01     0.04  WSmaze::update()
  6.64     70.03     8.20      926     0.01     0.01  WSmaze::clearIsKnownMatrix()
  6.27     77.78     7.75      926     0.01     0.01  WSmaze::clearCanGoWithMouseMatrix()
  6.08     85.30     7.51      668     0.01     0.01  WSbeacon::forceFindMax()
  5.60     92.21     6.92  2040093     0.00     0.00  WSmaze::goodToGoWithMouse(int, int)
  3.58     96.64     4.42 31203200     0.00     0.00  Path::clear(DiscretePosition const&)
  3.21    100.59     3.96 20822682     0.00     0.00  MathTools::angle_between(double, double, double)
  3.04    104.34     3.75  2997752     0.00     0.00  WSmaze::CanGoWithMouse(int, int)
  2.28    107.17     2.82  1591748     0.00     0.00  WSmaze::isKnown(int, int)
  1.68    109.25     2.08     2778     0.00     0.00  WSmaze::erode(char (*) [280], char (*) [280])
  1.53    111.14     1.89   424142     0.00     0.00  WSmaze::validToGoWithMouse(int, int)
  1.30    112.75     1.61     2778     0.00     0.00  WSmaze::dilate(char (*) [280], char (*) [280])
  1.13    114.14     1.40  4897489     0.00     0.00  WSbeacon::paint_pixel(int, int, int, int, int, int, int*)
  0.78    115.10     0.96        1     0.96     0.96  WSbeacon::calc_not_visible_mask_maps()
  0.74    116.01     0.91      238     0.00     0.04  Plan::wayThroughKnownPlacesTo(Position const&)
  0.62    116.78     0.77      345     0.00     0.02  Plan::wayTo(Position const&)
  0.60    117.52     0.74      112     0.01     0.02  WSbeacon::update_beacon_visible(bool, int, int)
  0.57    118.22     0.70     1170     0.00     0.00  WSbeacon::update_beacon_not_visible(double, double, int, int, bool, bool)
  0.53    118.88     0.66  2831925     0.00     0.00  WSmaze::distri_normal_acc(double, double)
  0.46    119.44     0.57   424142     0.00     0.00  Heap::percolateDown(int)
  0.43    119.97     0.53        1     0.53     0.53  WSbeacon::calc_visible_mask_maps()
  0.40    120.47     0.50   648109     0.00     0.00  Path::update(Path*, double)
  0.35    120.91     0.43      213     0.00     0.02  Plan::wayExploringTo(Position const&)
  0.29    121.27     0.36     2441     0.00     0.00  WSmaze::applyCleanSensorMatrix(int, double, double, double, double, double)
  0.22    121.54     0.28   648905     0.00     0.00  Heap::insert(Path*)
  0.20    121.79     0.25   231810     0.00     0.00  WSmaze::setMazeMatPos(int, int, char, double)
  0.17    122.00     0.21       10     0.02     0.02  WSbeacon::update_beacon_area(int, int, double, double)
  0.14    122.17     0.17        1     0.17     0.17  global constructors keyed to _ZN6WSmazeC2EP10WorldState
  0.13    122.33     0.16    31137     0.00     0.00  Plan::tryWayToPoint(int)
  0.12    122.48     0.15      926     0.00     0.00  WSbeaconsearch::update()
  0.11    122.62     0.14        1     0.14     0.21  Plan::Plan(WorldState*, MotorController*)
  0.08    122.72     0.10   362992     0.00     0.00  WSbeaconsearch::SearchArea::operator<(WSbeaconsearch::SearchArea const&) const
  0.07    122.81     0.09      796     0.00     0.01  Plan::clearTravelCost(DiscretePosition const&, DiscretePosition const&)
  0.07    122.89     0.09   278196     0.00     0.00  WSbeaconsearch::inArea(int)
  0.06    122.97     0.08     1263     0.00     0.00  WSmaze::applySensorMatrix(int, double, double, double, double, double)
  0.05    123.03     0.06   278357     0.00     0.00  WSbeaconsearch::outOfBounds(int)
  0.04    123.08     0.04   424142     0.00     0.00  Heap::deleteMin()
  0.04    123.12     0.04   156800     0.00     0.00  Path::init(DiscretePosition const&)
  0.03    123.16     0.04      926     0.00     0.00  WSmaze::applyAllSensors()
  0.03    123.20     0.04      668     0.00     0.02  WSbeacon::update(bool)
  0.02    123.23     0.03        1     0.03     0.07  Plan::initTravelCost()
