Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.67      3.77     3.77 13867625     0.00     0.00  WSmaze::goodToGoWithMouse(int, int)
 12.81      5.90     2.13 25392704     0.00     0.00  WSmaze::CanGoWithMouse(int, int)
  9.38      7.46     1.56     1431     0.00     0.00  WSbeacon::update(bool)
  8.60      8.89     1.43  3181101     0.00     0.00  WSmaze::validToGoWithMouse(int, int)
  7.34     10.11     1.22     4728     0.00     0.00  WSmaze::dilate(char (*) [280], char (*) [280])
  6.25     11.15     1.04 10807471     0.00     0.00  WSmaze::isKnown(int, int)
  5.47     12.06     0.91     4728     0.00     0.00  WSmaze::erode(char (*) [280], char (*) [280])
  5.35     12.95     0.89        1     0.89     0.89  WSbeacon::createSensorMatrix()
  3.85     13.59     0.64  3182517     0.00     0.00  Heap::deleteMin()
  3.67     14.20     0.61     1576     0.00     0.00  WSmaze::update()
  3.43     14.77     0.57      403     0.00     0.00  WSbeacon::applySensor(double)
  3.37     15.33     0.56     1016     0.00     0.01  Plan::wayTo(Position const&, Position const&)
  2.47     15.74     0.41        1     0.41     0.41  WSmaze::createSensor()
  1.86     16.05     0.31      403     0.00     0.01  Plan::wayThroughKnownPlacesTo(Position const&, Position const&)
  1.68     16.33     0.28  4492920     0.00     0.00  WSmaze::goodToOptimizeWithMouse(int, int)
  0.66     16.44     0.11  4838337     0.00     0.00  Heap::insert(Path*)
  0.24     16.48     0.04  4836916     0.00     0.00  Path::update(Path*, double)
  0.24     16.52     0.04                             WSmaze::nearWall(int, int)
  0.12     16.54     0.02                             gui(void*)
  0.06     16.55     0.01  3181097     0.00     0.00  Heap::isEmpty()
  0.06     16.56     0.01     1578     0.00     0.00  WSbeaconsearch::update()
  0.06     16.57     0.01     1576     0.00     0.00  WSmaze::clearGoodToGoMouseMatrix()
  0.06     16.58     0.01     1419     0.00     0.00  Plan::findRoute(DiscretePosition, DiscretePosition)
  0.06     16.59     0.01        1     0.01     0.01  Plan::Plan(WorldState*, MotorController*)
  0.06     16.60     0.01        1     0.01    15.23  Mouse::behave()
  0.06     16.61     0.01                             Heap::makeEmpty()
  0.06     16.62     0.01                             Path::predictedCost(Path*, double)
